"uuid","xml src","md src","marketing loc","docs loc"
"0bcc11b2-44bd-450c-a504-a8ff7a4d72e6","target-standard-premium-master/src/target/c_determine-winner.xml","help/c-activities/automated-traffic-allocation/determine-winner.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_determine-winner.html","https://docs.adobe.com/content/help/en/target/using/activities/auto-allocate/determine-winner.html"
"7e4ce7c0-0027-417c-8dae-45b6f5045e65","target-standard-premium-master/src/target/c_set-up-click-tracking-in-the-mobile-vec.xml","help/c-target-mobile-app/c-mobile-visual-experience-composer/set-up-click-tracking-in-the-mobile-vec.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_set-up-click-tracking-in-the-mobile-vec.html","https://docs.adobe.com/content/help/en/target/using/implement-target/mobile-apps/composer/set-up-click-tracking-in-the-mobile-vec.html"
"b6052939-6ed4-4c90-b118-77b6fe42b0af","target-standard-premium-master/src/target/cmp_target-standard-cheatsheet.xml","help/c-intro/cmp-target-standard-cheatsheet.md","https://marketing.adobe.com/resources/help/en_US/target/target/cmp_target-standard-cheatsheet.html","https://docs.adobe.com/content/help/en/target/using/introduction/cmp-target-standard-cheatsheet.html"
"86a74584-4a4d-428b-9d29-f7ebdf0cef2a","target-standard-premium-master/src/target/c_mobile_viewports.xml","help/c-experiences/c-visual-experience-composer/mobile-viewports.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_mobile_viewports.html","https://docs.adobe.com/content/help/en/target/using/experiences/visual-experience-composer-vec/mobile-viewports.html"
"b3af3b62-4a08-4dfd-b529-5012871cc972","target-standard-premium-master/src/target/t_experience_target.xml","help/c-activities/t-experience-target/experience-target.md","https://marketing.adobe.com/resources/help/en_US/target/target/t_experience_target.html","https://docs.adobe.com/content/help/en/target/using/activities/experience-targeting/experience-target.html"
"6b1763f7-08de-4bde-9e20-e79b92b02f20","target-standard-premium-master/src/ov2/t_testing-content-with-the-adbox.xml","help/c-implementing-target/c-non-javascript-based-implementation/testing-content-with-the-adbox.md","","https://docs.adobe.com/content/help/en/target/using/implement-target/implement-email/testing-content-with-the-adbox.html"
"7c66d0e8-cecf-4d0d-8c62-5347a7d80a53","target-standard-premium-master/src/recs/r_recs_activity_settings.xml","help/c-recommendations/t-create-recs-activity/recs-activity-settings.md","","https://docs.adobe.com/content/help/en/target/using/recommendations/recommendations-activity/recs-activity-settings.html"
"d317e63a-ba1f-4c0e-ab90-c6181b8b45fd","target-standard-premium-master/src/target/t_activity_settings.xml","help/c-activities/activity-settings.md","https://marketing.adobe.com/resources/help/en_US/target/target/t_activity_settings.html","https://docs.adobe.com/content/help/en/target/using/activities/activity-settings.html"
"8d20f4e7-72fd-4872-a21f-54ce16a2d2ab","target-standard-premium-master/src/target/c_reports.xml","help/c-reports/reports.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_reports.html","https://docs.adobe.com/content/help/en/target/using/reports/reports.html"
"2507a7a6-d229-412a-a992-5777b45c80e7","target-standard-premium-master/src/target/c_personalization-insights-reports.xml","help/c-reports/c-personalization-insights-reports/personalization-insights-reports.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_personalization-insights-reports.html","https://docs.adobe.com/content/help/en/target/using/reports/insights/personalization-insights-reports.html"
"efd672ae-c684-455f-8ec1-0efcfe1e9534","target-standard-premium-master/src/target/r_viztarget_options.xml","help/c-experiences/c-visual-experience-composer/viztarget-options.md","https://marketing.adobe.com/resources/help/en_US/target/target/r_viztarget_options.html","https://docs.adobe.com/content/help/en/target/using/experiences/visual-experience-composer-vec/viztarget-options.html"
"9961ebaa-8761-431d-9605-852025ca580f","target-standard-premium-master/src/target/t_ap_traffic_estimator.xml","help/c-activities/t-automated-personalization/ap-traffic-estimator.md","https://marketing.adobe.com/resources/help/en_US/target/target/t_ap_traffic_estimator.html","https://docs.adobe.com/content/help/en/target/using/activities/automated-personalization/ap-traffic-estimator.html"
"63c47a7c-3378-4a0b-bfd5-c15865dad403","target-standard-premium-master/src/target/c_common-ab-testing-pitfalls.xml","help/c-activities/t-test-ab/common-ab-testing-pitfalls.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_common-ab-testing-pitfalls.html","https://docs.adobe.com/content/help/en/target/using/activities/abtest/common-ab-testing-pitfalls.html"
"970de8ba-ab60-4339-866b-27889bec67f9","target-standard-premium-master/src/target/c_xt_activity_url.xml","help/c-activities/t-experience-target/t-xt-create/xt-activity-url.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_xt_activity_url.html","https://docs.adobe.com/content/help/en/target/using/activities/experience-targeting/create-targeting/xt-activity-url.html"
"35ecabbe-b8b4-479b-9266-4823c831d79a","target-standard-premium-master/src/rn/target_release_notes.xml","help/r-release-notes/target-release-notes.md","","https://docs.adobe.com/content/help/en/target/using/release-notes/target-release-notes.html"
"41d41665-9057-479d-b0a8-7cffb90ca843","target-standard-premium-master/src/a4t/c_a4t_faq_metric-definition.xml","help/c-integrating-target-with-mac/a4t/r-a4t-faq/a4t-faq-metric-definition.md","https://marketing.adobe.com/resources/help/en_US/target/a4t/c_a4t_faq_metric-definition.html","https://docs.adobe.com/content/help/en/target/using/integrate/a4t/a4t-frequently-asked-questions/a4t-faq-metric-definition.html"
"ccebcd16-7d8f-468f-8474-c89b0f029bdb","target-standard-premium-master/src/recs/c_custom_entity_attributes.xml","help/c-recommendations/c-products/custom-entity-attributes.md","","https://docs.adobe.com/content/help/en/target/using/recommendations/entities/custom-entity-attributes.html"
"a1be34dd-9790-4c8f-be61-07f46966d56f","target-standard-premium-master/src/ov/r_training_and_certification.xml","help/c-intro/training-and-certification.md","https://marketing.adobe.com/resources/help/en_US/target/ov/r_training_and_certification.html","https://docs.adobe.com/content/help/en/target/using/introduction/training-and-certification.html"
"f8a0ab54-5840-4430-b9be-19e689b1c09a","target-standard-premium-master/src/target/c_target-api-documentation.xml","help/c-implementing-target/c-api-and-sdk-overview/target-api-documentation.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_target-api-documentation.html","https://docs.adobe.com/content/help/en/target/using/implement-target/server-side-implement-target/target-api-documentation.html"
"a1f0ddae-39f1-4e28-bf86-03e82e3cb91e","target-standard-premium-master/src/target/release-notes-for-previous-releases.xml","help/r-release-notes/release-notes-for-previous-releases.md","https://marketing.adobe.com/resources/help/en_US/target/target/r_release-notes-2018.html","https://docs.adobe.com/content/help/en/target/using/release-notes/release-notes-for-previous-releases.html"
"9a5ca86b-fc79-4c24-b86f-e333b0c63088","target-standard-premium-master/src/recs/t_create_criteria_sequence.xml","help/c-recommendations/c-algorithms/create-criteria-sequence.md","","https://docs.adobe.com/content/help/en/target/using/recommendations/criteria/create-criteria-sequence.html"
"3f736d7d-b305-438b-8320-2a54e4a9234f","target-standard-premium-master/src/target/c_automated-segments-report.xml","help/c-reports/c-personalization-insights-reports/automated-segments-report.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_automated-segments-report.html","https://docs.adobe.com/content/help/en/target/using/reports/insights/automated-segments-report.html"
"a88353d1-36e8-48b2-9b5e-71ed437c5b99","target-standard-premium-master/src/target/c_3rd-party_id.xml","help/c-target/c-visitor-profile/3rd-party-id.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_3rd-party_id.html","https://docs.adobe.com/content/help/en/target/using/audiences/visitor-profiles/3rd-party-id.html"
"a9eb62a6-e86a-4e7b-922c-ad87570435ba","target-standard-premium-master/src/target/c_custom_parameters.xml","help/c-target/c-audiences/c-target-rules/custom-parameters.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_custom_parameters.html","https://docs.adobe.com/content/help/en/target/using/audiences/create-audiences/categories-audiences/custom-parameters.html"
"c3463f0d-8f09-4be2-9c85-f933578cce50","target-standard-premium-master/src/target/c_report-settings.xml","help/c-reports/c-report-settings/report-settings.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_report-settings.html","https://docs.adobe.com/content/help/en/target/using/reports/settings/report-settings.html"
"3ecc041a-42d8-40f8-90be-7856e1d3d080","target-standard-premium-master/src/ov2/implementing-target-without-a-tag-manager.xml","help/c-implementing-target/c-implementing-target-for-client-side-web/how-to-deployatjs/implementing-target-without-a-tag-manager.md","https://marketing.adobe.com/resources/help/en_US/target/ov/t_create_orderconfirm-page-mbox-atjs.html","https://docs.adobe.com/content/help/en/target/using/implement-target/client-side/deploy-at-js/implementing-target-without-a-tag-manager.html"
"e79c7af7-f8bd-4e2b-8e67-b04eddf0c65d","target-standard-premium-master/src/ov/r_advanced_mboxjs_settings.xml","help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/advanced-mboxjs-settings.md","https://marketing.adobe.com/resources/help/en_US/target/ov/r_advanced_mboxjs_settings.html","https://docs.adobe.com/content/help/en/target/using/implement-target/client-side/mbox-implement/advanced-mboxjs-settings.html"
"19036a1d-941c-4d31-8c7b-f50c86996b1c","target-standard-premium-master/src/ov2/c_target-atjs-integrations.xml","help/c-implementing-target/c-implementing-target-for-client-side-web/c-how-atjs-works/target-atjs-integrations.md","","https://docs.adobe.com/content/help/en/target/using/implement-target/client-side/at-js/target-atjs-integrations.html"
"1940dd31-b416-413e-aa6c-babbc8883d47","target-standard-premium-master/src/recs/c_products.xml","help/c-recommendations/c-products/products.md","","https://docs.adobe.com/content/help/en/target/using/recommendations/entities/products.html"
"45f81fe8-7b04-4a36-931d-bbf03ed6cbb3","target-standard-premium-master/src/ov2/t_target-migrate-atjs.xml","help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-target-atjs-implementation/target-migrate-atjs.md","","https://docs.adobe.com/content/help/en/target/using/implement-target/client-side/mbox-implement/migrate-mbox/target-migrate-atjs.html"
"9b311dd3-b8fa-483d-aedd-96761cfcd67e","target-standard-premium-master/src/ov/c_user_management.xml","help/administrating-target/c-user-management/c-user-management/user-management.md","https://marketing.adobe.com/resources/help/en_US/target/ov/c_user_management.html","https://docs.adobe.com/content/help/en/target/using/administer/manage-users/users/user-management.html"
"c3f22cce-204a-4509-92c4-8fec43fbaebe","target-standard-premium-master/src/recs/t_create_recs_activity.xml","help/c-recommendations/t-create-recs-activity/create-recs-activity.md","","https://docs.adobe.com/content/help/en/target/using/recommendations/recommendations-activity/create-recs-activity.html"
"e8cd1881-9b08-4c90-b2fc-ec60fee17697","target-standard-premium-master/src/target/r_xt_goals_and_settings.xml","help/c-activities/t-experience-target/t-xt-create/xt-goals-and-settings.md","https://marketing.adobe.com/resources/help/en_US/target/target/r_xt_goals_and_settings.html","https://docs.adobe.com/content/help/en/target/using/activities/experience-targeting/create-targeting/xt-goals-and-settings.html"
"50c5380f-bc7f-41ae-8a85-cdce2dcc0ccd","target-standard-premium-master/src/target/r_ap-trouble.xml","help/c-activities/t-automated-personalization/ap-trouble.md","https://marketing.adobe.com/resources/help/en_US/target/target/r_ap-trouble.html","https://docs.adobe.com/content/help/en/target/using/activities/automated-personalization/ap-trouble.html"
"5a627580-8e06-4e14-9fe0-1a442acc6fd8","target-standard-premium-master/src/target/system-status-updates.xml","help/r-release-notes/system-status-updates.md","https://marketing.adobe.com/resources/help/en_US/target/target/system-status-updates.html","https://docs.adobe.com/content/help/en/target/using/release-notes/system-status-updates.html"
"732bf2c2-0cc7-4d5d-9919-9fe668344d39","target-standard-premium-master/src/recs/t_adding_promotions.xml","help/c-recommendations/t-create-recs-activity/adding-promotions.md","","https://docs.adobe.com/content/help/en/target/using/recommendations/recommendations-activity/adding-promotions.html"
"5e67adcf-464c-495f-9ba5-15152d9a6a41","target-standard-premium-master/src/target/cmp_privacy-and-general-data-protection-regulation.xml","help/c-implementing-target/c-considerations-before-you-implement-target/c-privacy/cmp-privacy-and-general-data-protection-regulation.md","https://marketing.adobe.com/resources/help/en_US/target/target/privacy-and-general-data-protection-regulation.html","https://docs.adobe.com/content/help/en/target/using/implement-target/before-implement/privacy/cmp-privacy-and-general-data-protection-regulation.html"
"5917bd3b-f321-4348-b9b0-4fba6a1f3d1a","target-standard-premium-master/src/recs/c_recommendations-classic-versus-recommendations-activities-target-premium.xml","help/c-recommendations/c-recommendations-faq/recommendations-classic-versus-recommendations-activities-target-premium.md","","https://docs.adobe.com/content/help/en/target/using/recommendations/recommendations-faq/recommendations-classic-versus-recommendations-activities-target-premium.html"
"154559cf-58bb-425d-bb2e-4eaf34c89451","target-standard-premium-master/src/target/t_test_ab.xml","help/c-activities/t-test-ab/test-ab.md","https://marketing.adobe.com/resources/help/en_US/target/target/t_test_ab.html","https://docs.adobe.com/content/help/en/target/using/activities/abtest/test-ab.html"
"3586af55-db15-4e68-90a7-d552338ec5e8","target-standard-premium-master/src/ov2/r_target-atjs-versions.xml","help/c-implementing-target/c-implementing-target-for-client-side-web/target-atjs-versions.md","","https://docs.adobe.com/content/help/en/target/using/implement-target/client-side/target-atjs-versions.html"
"4c8aadd3-75c3-4388-b838-e62576dfb955","target-standard-premium-master/src/target/c_automated_personalization-faq.xml","help/c-activities/t-automated-personalization/automated-personalization-faq.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_automated_personalization-faq.html","https://docs.adobe.com/content/help/en/target/using/activities/automated-personalization/automated-personalization-faq.html"
"1a1e13e0-7fbd-4f86-80da-cd4e96748d30","target-standard-premium-master/src/recs/t_algo_select_recs.xml","help/c-recommendations/t-create-recs-activity/algo-select-recs.md","","https://docs.adobe.com/content/help/en/target/using/recommendations/recommendations-activity/algo-select-recs.html"
