"Original XML Dita File","UUID"
"target-standard-premium-master/src/ov2/c_target-atjs-implementation.xml","a315e329-e646-4a1d-b505-ca1c1cdc2398"
"target-standard-premium-master/src/ov2/t_target-migrate-atjs.xml","b3d3fbcd-1e00-4571-a590-8535c2ee64ec"
"target-standard-premium-master/src/ov2/c_target-atjs-limitations.xml","a58d6251-165a-4cf0-adaa-202117f0a33e"
"target-standard-premium-master/src/ov2/c_target-atjs-plugins.xml","a2082f66-6872-4096-8c08-f081c7b21aa2"
"target-standard-premium-master/src/ov2/r_target-test-atjs.xml","42451413-c25f-4b61-b7f3-b9947162c6dc"
"target-standard-premium-master/src/ov/c_mbox_technical.xml","f2aac600-38b0-4173-8e01-15b8a333463a"
"target-standard-premium-master/src/ov/r_advanced_mboxjs_settings.xml","88309a97-1120-4c96-b9f2-fb745eb3b5bb"
"target-standard-premium-master/src/ov/t_target-download-config-mbox.xml","1d7ed04e-7a31-4309-9fa2-fc80bdadb7d0"
"target-standard-premium-master/src/target/c_call-Responses-library-version.xml","5ddea9d1-be0c-40e7-a2ee-715a65bd8f02"
"target-standard-premium-master/src/ov/t_orderconfirm_create.xml","b97fc077-0d87-4960-b5c8-6d26864c3072"
"target-standard-premium-master/src/ov2/c_mboxjs-frequently-asked-questions.xml","cee767fd-54ec-4346-bce3-7c4da4d120a3"
"target-standard-premium-master/src/ov/c_mboxjs-functions.xml","374c003b-f9e0-4749-8be1-b0378e6d3db9"
"target-standard-premium-master/src/ov/c_cookie_behavior.xml","dbce42f7-8364-4d0e-8bb2-81c301f5595c"
"target-standard-premium-master/src/ov/r_mboxjs_change_log.xml","75f1e27e-9ffd-4380-b885-fd9c221cf619"
"target-standard-premium-master/src/ov/c_understanding-global-mbox.xml","1fe859a1-e7f4-4e97-947b-a97fe3e7d3fa"
"target-standard-premium-master/src/ov/t_customize-global-mbox.xml","4a4b63fa-44ac-4e6d-a5d2-dd720ceb1cac"
"target-standard-premium-master/src/ov/t_mbox_global_target_standard.xml","3d44e1b7-b469-40d5-b392-25a784c1ae1f"
"target-standard-premium-master/src/ov/c_pass_parameters_to_global_mbox.xml","d8121af7-a91a-4e83-9c0b-e175902145d6"
"target-standard-premium-master/src/ov2/c_implementing-taget-for-moblile-apps.xml","d325a187-099b-454f-a3ac-e302b37a7073"
"target-standard-premium-master/src/target/c_api-and-sdk-overview.xml","d42f2bdf-c554-427d-88cd-61386170abf3"
"target-standard-premium-master/src/target/c_target-api-documentation.xml","a9975572-75b5-4e68-be6d-0525f7073fd4"
"target-standard-premium-master/src/ov2/c_non-javascript-based-implementation.xml","ce0b6712-1410-41eb-a3e1-22c586c59c87"
"target-standard-premium-master/src/ov2/t_testing-content-with-the-adbox.xml","c9a128cb-c521-4da0-bbaa-2a684e638792"
